precision;f1_score;area under the curve;accuracy;recall_score
0,859022556391;0,810810810811;0,829519450801;"0;83";0,789473684211
0,897252747253;0,857142857143;0,881481481481;"0;90";0,8
0,91810966811;0,85;0,861363636364;"0;86";0,772727272727
0,943400167084;0,918918918919;0,925629290618;"0;93";0,894736842105
0,877819548872;0,842105263158;0,855835240275;"0;86";0,842105263158
0,841666666667;0,742857142857;0,779545454545;"0;79";0,65
0,856766917293;0,820512820513;0,83409610984;"0;83";0,842105263158
0,757529376913;"0;63";0,694976076555;"0;71";0,526315789474
0,855420054201;0,787878787879;0,817632850242;"0;83";0,722222222222
;;;"0;84";
