region,n_voxels,input_layer,first_layer,second_layer,latent_layer
1,8272,,,,
2,8063,,,,
3,8489,,,,
4,9612,,,,
5,2252,,,,
6,2320,,,,
7,11383,,,,
8,11832,,,,
9,2138,,,,
10,2382,,,,
11,2406,,,,
12,3321,,,,
13,5968,,,,
14,5065,,,,
15,4089,,,,
16,4072,,,,
17,2365,,,,
18,3202,,,,
19,5065,,,,
20,5535,,,,
21,669,,,,
22,689,,,,
23,7180,,,,
24,4979,,,,
25,1693,,,,
26,2096,,,,
27,1951,,,,
28,1761,,,,
29,4435,,,,
30,4168,,,,
31,3304,,,,
32,3144,,,,
33,4709,,,,
34,5098,,,,
35,1099,,,,
36,794,,,,
37,2220,,,,
38,2279,,,,
39,2323,,,,
40,2708,,,,
41,534,,,,
42,581,,,,
43,5378,,,,
44,4473,,,,
45,3530,,,,
46,3322,,,,
47,5078,,,,
48,5386,,,,
49,3226,,,,
50,3320,,,,
51,7768,,,,
52,4869,,,,
53,2220,,,,
54,2370,,,,
55,5474,,,,
56,6026,,,,
57,9239,,,,
58,9108,,,,
59,4992,,,,
60,5191,,,,
61,5660,,,,
62,3145,,,,
63,2933,,,,
64,4625,,,,
65,2802,,,,
66,4227,,,,
67,8427,,,,
68,7782,,,,
69,3212,,,,
70,1919,,,,
71,2257,,,,
72,2330,,,,
73,2355,,,,
74,2528,,,,
75,684,,,,
76,650,,,,
77,2551,,,,
78,2482,,,,
79,521,,,,
80,567,,,,
81,5461,,,,
82,7494,,,,
83,3021,,,,
84,3115,,,,
85,11582,,,,
86,10596,,,,
87,1822,,,,
88,2800,,,,
89,7527,,,,
90,8486,,,,
91,6143,,,,
92,6223,,,,
93,4510,,,,
94,5070,,,,
95,307,,,,
96,488,,,,
97,2612,,,,
98,2020,,,,
99,4072,,,,
100,4260,,,,
101,1357,,,,
102,1248,,,,
103,4485,,,,
104,5464,,,,
105,2073,,,,
106,1909,,,,
107,338,,,,
108,373,,,,
109,124,,,,
110,550,,,,
111,1655,,,,
112,861,,,,
113,442,,,,
114,543,,,,
115,411,,,,
116,260,,,,
